id;sexe;usage_vehicule;type_vehicule;‰ge_vehicule;points_perdus_logical;type_conduite;formule;date_demande;etat_dossier;‰ge_client;tarif_intervalle;revenus_intervalle;enfants_logical;enfant_conduite_accompagne_logical;est_rouge
61;F;Private;Minivan;16.0;NO;Highly Urban/ Urban;dev_integral;23/03/2022 15:45;complet;73;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
62;F;Private;Pickup;8.0;NO;Highly Urban/ Urban;dev_express;27/04/2022 03:37;complet;55;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
63;F;Commercial;Van;5.0;NO;Highly Urban/ Urban;dev_integral;24/05/2022 02:44;complet;71;"[250Û;325Û]";"[60k;80k]";YES;FAUX;NO
64;F;Private;Sports Car;1.0;NO;Highly Urban/ Urban;dev_express;09/05/2022 23:43;complet;81;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
65;F;Private;SUV;6.0;NO;Highly Urban/ Urban;dev_integral;22/04/2022 08:38;complet;5;"[250Û;325Û]";[<20k];NO;FAUX;NO
66;M;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_express;17/05/2022 07:36;complet;51;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
67;M;Private;Pickup;7.0;NO;Highly Urban/ Urban;dev_express;01/05/2022 22:37;complet;70;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
68;M;Private;Minivan;5.0;YES;Highly Rural/ Rural;dev_express;29/05/2022 10:50;complet;52;"[250Û;325Û]";[<20k];NO;FAUX;NO
69;M;Private;SUV;13.0;YES;Highly Urban/ Urban;dev_express;04/04/2022 09:48;complet;73;"[250Û;325Û]";"[20k;40k]";YES;FAUX;YES
70;F;Commercial;Pickup;3.0;YES;Highly Urban/ Urban;dev_integral;27/01/2022 21:31;complet;25;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
71;F;Private;SUV;9.0;NO;Highly Urban/ Urban;dev_integral;13/01/2022 03:29;complet;4;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
72;M;Private;SUV;12.0;YES;Highly Urban/ Urban;dev_express;08/01/2022 11:18;complet;35;"[250Û;325Û]";[>100k];NO;FAUX;NO
73;M;Private;Minivan;9.0;YES;Highly Urban/ Urban;dev_integral;05/04/2022 09:02;complet;10;"[250Û;325Û]";"[80k;100k]";NO;FAUX;YES
74;F;Private;Minivan;9.0;YES;Highly Rural/ Rural;dev_premium;14/02/2022 02:00;complet;81;"[400Û;500Û]";"[60k;80k]";YES;FAUX;NO
75;M;Private;Pickup;8.0;NO;Highly Urban/ Urban;dev_express;14/01/2022 13:12;complet;79;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
76;F;Private;SUV;18.0;YES;Highly Urban/ Urban;dev_integral;20/04/2022 02:38;complet;30;"[250Û;325Û]";[>100k];NO;FAUX;NO
77;F;Commercial;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;10/05/2022 13:40;complet;73;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
78;M;Commercial;Panel Truck;11.0;YES;Highly Urban/ Urban;dev_premium;24/01/2022 17:35;complet;52;"[325Û;400Û]";"[40k;60k]";NO;FAUX;NO
79;F;Private;Minivan;6.0;YES;Highly Urban/ Urban;dev_express;01/02/2022 04:48;complet;53;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
80;M;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_premium;20/04/2022 07:29;complet;61;"[325Û;400Û]";[>100k];NO;FAUX;YES
81;M;Private;Sports Car;3.0;NO;Highly Rural/ Rural;dev_express;02/01/2022 10:07;complet;84;"[250Û;325Û]";[<20k];NO;FAUX;NO
82;M;Commercial;Van;8.0;NO;Highly Rural/ Rural;dev_express;18/02/2022 08:51;complet;64;"[250Û;325Û]";[>100k];NO;FAUX;YES
83;F;Commercial;SUV;4.0;NO;Highly Urban/ Urban;dev_express;27/04/2022 19:14;complet;64;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
84;M;Private;Sports Car;inconnu;YES;Highly Rural/ Rural;dev_express;09/05/2022 03:37;complet;64;"[250Û;325Û]";[<20k];NO;FAUX;NO
85;M;Commercial;Pickup;8.0;YES;Highly Urban/ Urban;dev_express;14/01/2022 21:13;complet;62;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
86;M;Private;Minivan;9.0;NO;Highly Urban/ Urban;dev_express;30/03/2022 13:20;complet;42;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
87;M;Private;Minivan;17.0;NO;Highly Urban/ Urban;dev_premium;25/01/2022 00:58;complet;54;"[400Û;500Û]";[<20k];NO;FAUX;NO
88;F;Private;SUV;1.0;NO;Highly Rural/ Rural;dev_express;28/05/2022 07:13;complet;23;"[250Û;325Û]";"[20k;40k]";YES;VRAI;NO
89;M;Private;Minivan;13.0;NO;Highly Urban/ Urban;dev_premium;12/02/2022 08:10;complet;50;"[500Û;575Û]";"[40k;60k]";NO;FAUX;NO
90;M;Private;Sports Car;2.0;NO;Highly Rural/ Rural;dev_integral;11/01/2022 16:57;complet;58;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
91;M;Commercial;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;15/04/2022 05:20;complet;80;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
92;F;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_premium;28/03/2022 10:41;complet;11;"[325Û;400Û]";"[20k;40k]";YES;FAUX;NO
93;F;Private;Sports Car;1.0;YES;Highly Urban/ Urban;dev_premium;26/02/2022 21:26;complet;5;"[400Û;500Û]";"[80k;100k]";NO;FAUX;NO
94;M;Private;Van;1.0;NO;Highly Urban/ Urban;dev_express;17/01/2022 08:39;complet;62;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
95;F;Private;Pickup;11.0;YES;Highly Urban/ Urban;dev_integral;16/04/2022 00:13;complet;70;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
96;F;Commercial;Pickup;5.0;YES;Highly Rural/ Rural;dev_integral;12/01/2022 03:39;complet;52;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
97;M;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;23/03/2022 01:48;complet;62;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
98;F;Private;Minivan;6.0;NO;Highly Urban/ Urban;dev_integral;17/04/2022 15:27;complet;36;"[250Û;325Û]";"[40k;60k]";YES;VRAI;YES
99;M;Private;Van;8.0;YES;Highly Urban/ Urban;dev_integral;05/05/2022 04:13;complet;43;"[325Û;400Û]";"[60k;80k]";YES;FAUX;YES
100;M;Commercial;SUV;1.0;NO;Highly Urban/ Urban;dev_integral;28/02/2022 07:30;complet;19;"[325Û;400Û]";"[60k;80k]";NO;FAUX;NO
101;M;Commercial;Pickup;12.0;YES;Highly Urban/ Urban;dev_integral;12/02/2022 17:39;complet;67;"[250Û;325Û]";[<20k];YES;FAUX;NO
102;F;Private;Minivan;1.0;NO;Highly Urban/ Urban;dev_integral;07/01/2022 19:37;complet;24;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
103;M;Private;Minivan;11.0;YES;Highly Urban/ Urban;dev_integral;07/01/2022 13:02;complet;53;"[250Û;325Û]";[>100k];NO;FAUX;NO
104;M;Commercial;Panel Truck;17.0;YES;Highly Urban/ Urban;dev_express;12/01/2022 00:08;complet;11;"[250Û;325Û]";[>100k];NO;FAUX;YES
105;M;Private;Minivan;12.0;YES;Highly Urban/ Urban;dev_premium;24/05/2022 14:39;complet;61;"[400Û;500Û]";"[60k;80k]";NO;FAUX;YES
106;M;Commercial;Panel Truck;14.0;NO;Highly Urban/ Urban;dev_integral;25/03/2022 12:49;complet;24;"[250Û;325Û]";[<20k];YES;FAUX;YES
107;F;Private;Minivan;5.0;NO;Highly Urban/ Urban;dev_integral;02/01/2022 00:52;complet;72;"[325Û;400Û]";[<20k];YES;VRAI;NO
108;M;Commercial;Minivan;12.0;YES;Highly Rural/ Rural;dev_integral;01/03/2022 04:35;complet;41;"[250Û;325Û]";"[60k;80k]";YES;FAUX;YES
109;F;Private;Minivan;11.0;YES;Highly Urban/ Urban;dev_express;28/01/2022 11:20;complet;58;"[250Û;325Û]";[>100k];YES;FAUX;YES
110;M;Private;SUV;9.0;NO;Highly Urban/ Urban;dev_premium;29/04/2022 08:01;complet;92;"[325Û;400Û]";[<20k];NO;FAUX;NO
111;M;Commercial;SUV;9.0;NO;Highly Urban/ Urban;dev_integral;20/01/2022 00:10;complet;54;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
112;M;Commercial;Minivan;12.0;NO;Highly Urban/ Urban;dev_express;06/05/2022 14:07;complet;56;"[250Û;325Û]";[>100k];YES;VRAI;NO
113;M;Private;SUV;8.0;NO;Highly Urban/ Urban;dev_express;14/03/2022 17:19;complet;69;"[250Û;325Û]";[<20k];YES;FAUX;NO
114;F;Commercial;Minivan;6.0;YES;Highly Urban/ Urban;dev_express;20/03/2022 10:44;complet;65;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
115;F;Private;SUV;14.0;NO;Highly Urban/ Urban;dev_premium;18/01/2022 01:43;complet;57;"[325Û;400Û]";"[80k;100k]";NO;FAUX;NO
116;F;Private;Minivan;1.0;NO;Highly Rural/ Rural;dev_premium;23/01/2022 11:52;complet;52;"[400Û;500Û]";"[20k;40k]";YES;VRAI;NO
117;F;Private;Sports Car;11.0;NO;Highly Rural/ Rural;dev_express;07/01/2022 23:42;complet;79;"[250Û;325Û]";"[40k;60k]";YES;VRAI;NO
118;F;Private;Pickup;7.0;NO;Highly Urban/ Urban;dev_integral;02/01/2022 23:14;complet;62;"[250Û;325Û]";[<20k];YES;VRAI;NO
119;M;Commercial;Sports Car;1.0;YES;Highly Urban/ Urban;dev_integral;23/05/2022 03:25;complet;9;"[325Û;400Û]";"[40k;60k]";YES;VRAI;NO
120;M;Private;Minivan;15.0;NO;Highly Urban/ Urban;dev_integral;29/05/2022 09:22;complet;4;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
121;M;Private;SUV;13.0;NO;Highly Rural/ Rural;dev_integral;09/02/2022 09:54;complet;71;"[250Û;325Û]";[<20k];NO;FAUX;NO
122;M;Private;Minivan;11.0;YES;Highly Urban/ Urban;dev_express;17/02/2022 21:50;complet;58;"[250Û;325Û]";"[80k;100k]";YES;FAUX;YES
123;M;Private;SUV;12.0;NO;Highly Urban/ Urban;dev_integral;06/05/2022 08:05;complet;71;"[250Û;325Û]";[>100k];NO;FAUX;NO
124;F;Private;Pickup;11.0;NO;Highly Urban/ Urban;dev_integral;25/01/2022 10:57;complet;49;"[325Û;400Û]";"[60k;80k]";NO;FAUX;YES
125;F;Private;Van;9.0;YES;Highly Urban/ Urban;dev_integral;01/01/2022 10:42;complet;30;"[325Û;400Û]";"[20k;40k]";YES;FAUX;NO
126;M;Private;Minivan;8.0;NO;Highly Urban/ Urban;dev_integral;02/04/2022 23:05;complet;34;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
127;M;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_integral;14/04/2022 03:03;complet;69;"[250Û;325Û]";[>100k];NO;FAUX;NO
128;M;Commercial;Minivan;1.0;YES;Highly Rural/ Rural;dev_express;07/03/2022 01:04;complet;17;"[250Û;325Û]";[<20k];NO;FAUX;YES
129;M;Commercial;Sports Car;inconnu;YES;Highly Urban/ Urban;dev_premium;04/04/2022 21:37;complet;22;"[500Û;575Û]";"[40k;60k]";NO;FAUX;NO
130;M;Private;Minivan;13.0;YES;Highly Urban/ Urban;dev_express;20/04/2022 04:58;complet;59;"[250Û;325Û]";[>100k];NO;FAUX;NO
131;F;Private;Sports Car;13.0;NO;Highly Urban/ Urban;dev_express;25/02/2022 11:43;complet;70;"[250Û;325Û]";[<20k];YES;FAUX;NO
132;F;Private;Minivan;9.0;YES;Highly Urban/ Urban;dev_vip;28/05/2022 00:32;complet;72;"[575Û;650Û]";"[20k;40k]";YES;FAUX;NO
133;M;Private;SUV;1.0;NO;Highly Rural/ Rural;dev_express;18/03/2022 05:26;complet;9;"[250Û;325Û]";[<20k];YES;FAUX;NO
134;M;Private;Minivan;5.0;YES;Highly Urban/ Urban;dev_express;25/02/2022 19:06;complet;56;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
135;F;Private;SUV;9.0;NO;Highly Urban/ Urban;dev_integral;08/04/2022 14:50;complet;5;"[250Û;325Û]";"[40k;60k]";YES;VRAI;NO
136;F;Private;Minivan;16.0;NO;Highly Urban/ Urban;dev_integral;01/05/2022 13:47;complet;92;"[250Û;325Û]";"[80k;100k]";YES;FAUX;NO
137;M;Commercial;Van;15.0;YES;Highly Urban/ Urban;dev_integral;27/03/2022 09:47;complet;13;"[325Û;400Û]";"[40k;60k]";NO;FAUX;YES
138;M;Commercial;Van;9.0;YES;Highly Urban/ Urban;dev_express;11/05/2022 02:14;complet;36;"[250Û;325Û]";[>100k];YES;VRAI;NO
139;M;Commercial;SUV;1.0;YES;Highly Urban/ Urban;dev_express;31/05/2022 03:31;complet;52;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
140;F;Private;Sports Car;7.0;YES;Highly Urban/ Urban;dev_premium;24/04/2022 23:44;complet;47;"[500Û;575Û]";[<20k];YES;FAUX;NO
141;M;Commercial;Sports Car;9.0;YES;Highly Urban/ Urban;dev_integral;06/03/2022 04:31;complet;52;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
142;F;Private;Minivan;9.0;NO;Highly Urban/ Urban;dev_integral;18/02/2022 17:27;complet;52;"[250Û;325Û]";[>100k];NO;FAUX;NO
143;F;Private;Pickup;12.0;NO;Highly Urban/ Urban;dev_integral;05/01/2022 05:06;complet;7;"[250Û;325Û]";[>100k];YES;FAUX;YES
144;M;Private;SUV;15.0;YES;Highly Urban/ Urban;dev_premium;19/02/2022 05:07;complet;83;"[500Û;575Û]";"[40k;60k]";NO;FAUX;NO
145;M;Commercial;SUV;inconnu;YES;Highly Urban/ Urban;dev_express;21/05/2022 17:06;complet;88;"[250Û;325Û]";[<20k];YES;FAUX;NO
146;M;Private;SUV;11.0;YES;Highly Urban/ Urban;dev_express;13/05/2022 05:41;complet;51;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
147;M;Private;SUV;7.0;NO;Highly Urban/ Urban;dev_integral;20/02/2022 18:23;complet;62;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
148;M;Private;SUV;10.0;YES;Highly Rural/ Rural;dev_integral;16/04/2022 08:28;complet;41;"[250Û;325Û]";"[20k;40k]";YES;VRAI;NO
149;F;Private;SUV;19.0;NO;Highly Urban/ Urban;dev_integral;03/03/2022 11:37;complet;73;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
150;F;Private;Minivan;15.0;NO;Highly Rural/ Rural;dev_express;26/02/2022 20:58;complet;76;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
151;M;Private;Minivan;10.0;NO;Highly Urban/ Urban;dev_integral;19/02/2022 07:35;complet;78;"[325Û;400Û]";"[40k;60k]";NO;FAUX;NO
152;F;Private;SUV;5.0;YES;Highly Urban/ Urban;dev_express;05/03/2022 12:14;complet;64;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
153;F;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;11/01/2022 23:53;complet;61;"[250Û;325Û]";[<20k];YES;FAUX;YES
154;M;Private;Minivan;4.0;YES;Highly Urban/ Urban;dev_express;25/03/2022 21:08;complet;32;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
155;F;Commercial;Pickup;9.0;NO;Highly Rural/ Rural;dev_integral;22/02/2022 18:20;complet;76;"[250Û;325Û]";"[20k;40k]";YES;FAUX;YES
156;M;Commercial;Van;12.0;NO;Highly Urban/ Urban;dev_integral;14/01/2022 04:38;complet;82;"[250Û;325Û]";[>100k];YES;VRAI;YES
157;F;Private;Sports Car;4.0;YES;Highly Urban/ Urban;dev_express;08/04/2022 21:31;complet;68;"[250Û;325Û]";[<20k];YES;FAUX;NO
158;M;Private;Pickup;15.0;NO;Highly Urban/ Urban;dev_integral;17/04/2022 13:11;complet;73;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
159;M;Commercial;Minivan;9.0;NO;Highly Rural/ Rural;dev_integral;14/05/2022 20:36;complet;84;"[325Û;400Û]";[>100k];NO;FAUX;YES
160;M;Commercial;SUV;1.0;YES;Highly Urban/ Urban;dev_integral;02/02/2022 00:42;complet;65;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
161;M;Private;Sports Car;8.0;NO;Highly Urban/ Urban;dev_integral;21/05/2022 22:35;complet;69;"[250Û;325Û]";"[80k;100k]";YES;VRAI;NO
162;M;Private;SUV;12.0;YES;Highly Urban/ Urban;dev_premium;09/03/2022 16:06;complet;33;"[400Û;500Û]";[>100k];NO;FAUX;NO
163;F;Private;Minivan;12.0;YES;Highly Rural/ Rural;dev_integral;27/02/2022 09:10;complet;49;"[325Û;400Û]";[>100k];YES;VRAI;NO
164;F;Private;Minivan;14.0;NO;Highly Urban/ Urban;dev_integral;03/04/2022 03:15;complet;71;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
165;F;Private;Sports Car;8.0;YES;Highly Rural/ Rural;dev_express;02/04/2022 11:55;complet;55;"[250Û;325Û]";[<20k];NO;FAUX;NO
166;F;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;08/04/2022 07:47;complet;51;"[250Û;325Û]";[<20k];YES;VRAI;NO
